"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MORN5",-1.95747473823059,1.65603719615907,-9.26888767937699,3.81239786184431e-19,3.01880615101704e-18,32.2918693566348
"AKAP13",-1.06646031343187,4.87880378277682,-9.26723553222734,3.86406524478294e-19,3.05847664241078e-18,32.2785658382516
"CNGA4",-1.20633129841649,0.934969354643115,-9.2646806989727,3.94533085872309e-19,3.12026714264706e-18,32.2579971025591
"MRGPRF",-1.20186818822999,2.79730956740856,-9.25910787199387,4.12851479911384e-19,3.26249692573409e-18,32.2131452932961
"SLC16A6",-1.04754894470941,1.9288617004761,-9.25663653723497,4.21242262788796e-19,3.32745558978124e-18,32.19326161593
"MATK",-1.01339959441327,2.10737141436026,-9.2549996422474,4.2689268553517e-19,3.36799678235939e-18,32.1800937686813
"FAM43A",-1.12714047316939,3.33626154297033,-9.25141817060481,4.39518771197335e-19,3.463407917035e-18,32.1512889571064
"EPHB2",1.45839490026695,2.8805600076391,9.24697255324243,4.55706870898479e-19,3.58662272119977e-18,32.1155455123325
"B4GALNT4",2.09496309545823,2.30529942689984,9.23588918073431,4.98682331302508e-19,3.91695590309819e-18,32.0264887955026
"APLN",-1.61167656443524,3.39797999348929,-9.2333900852943,5.08913897984405e-19,3.99571165555147e-18,32.006419065196
"SLC29A4",1.84906227384621,3.07949484776103,9.23237801461013,5.13116328444476e-19,4.02708561515196e-18,31.9982924729673
"CIP2A",1.20907135044671,2.50204836095739,9.225884045423,5.40911093891692e-19,4.2418130535463e-18,31.9461637337314
"CYB5A",-1.32528325678511,5.59111030831866,-9.22571727247693,5.41644196223935e-19,4.24585480665411e-18,31.9448253624087
"BHLHA15",1.71062907570011,2.86878380316546,9.215717723034,5.87446557762974e-19,4.59565592300493e-18,31.8646106027991
"LGSN",2.19041856519228,2.47233503460154,9.21263250986225,6.02337634583286e-19,4.70460187716373e-18,31.8398745270272
"UBE2S",1.3020326942602,4.04654380441603,9.19938554821544,6.70640413236669e-19,5.23598878276812e-18,31.7337351267988
"MRPL12",1.08273521911602,5.90122417658572,9.19431408878097,6.98773277360946e-19,5.44691256129917e-18,31.6931307454235
"CYBB",-1.62801770577613,6.02828625959764,-9.19301561989973,7.06162233566658e-19,5.50011263628216e-18,31.6827372902477
"CA9",2.82840507329125,3.10971333578141,9.19029256550785,7.219100254141e-19,5.62052344337373e-18,31.6609444284883
"BCL2A1",-1.36333432685573,4.65887790118316,-9.18759925787251,7.37827795689681e-19,5.73758193753423e-18,31.6393943437772
"MS4A4A",-1.39210912372428,4.66816340006432,-9.18735004264538,7.39318139191359e-19,5.74687989982028e-18,31.637400523518
"DNAI2",-1.5760788507208,1.14872661061023,-9.18692916126362,7.41841843132511e-19,5.76419978749536e-18,31.6340333973154
"MMP9",2.04718455245769,5.81192668195101,9.18382371496947,7.60728411006542e-19,5.90859665466372e-18,31.6091928103007
"CARD14",1.36496507718415,1.66224263131068,9.17838238699048,7.94976269182003e-19,6.17214258672636e-18,31.5656824424199
"CTSG",-1.4618533186379,1.69514853457307,-9.17126695594162,8.42074092894488e-19,6.53000836330863e-18,31.5088143690352
