"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HIGD1B",1.05503878477842,3.03820795091055,13.3019971998708,8.98266554503481e-35,1.10879067167604e-32,68.1922600733202
"CENPW",-1.15475789793336,4.50030942486576,-13.2989255105352,9.2593059521352e-35,1.13574996216662e-32,68.1622415376521
"PCLAF",-1.09069224393334,3.65279959930681,-13.2935860256854,9.76054129055087e-35,1.18364396234777e-32,68.1100684455701
"FHL1",1.33041902516719,3.65788147206692,13.2934760234811,9.77114689729739e-35,1.18364396234777e-32,68.1089936980012
"SELENOP",1.28629609512327,5.3500723143711,13.2865955303654,1.04578485992527e-34,1.25900877303226e-32,68.0417780242357
"FOLR1",2.28786177447092,7.04902441405253,13.2797441033673,1.11894173108913e-34,1.33881721358474e-32,67.9748626870514
"DLC1",1.31612110088618,4.09183782231427,13.2758675857967,1.16256980612612e-34,1.38253652005352e-32,67.9370094342195
"PRG4",1.55351618712457,1.81199098175132,13.2575650987873,1.3925725603332e-34,1.64602076631384e-32,67.7583609844997
"SPC25",-1.04050070779231,2.92633971347254,-13.2518856268039,1.47277223981122e-34,1.71996868221786e-32,67.7029481410956
"SPC24",-1.02562192653591,3.10848507444976,-13.2499546048664,1.50107544635565e-34,1.7425877637068e-32,67.6841103340907
"CX3CR1",1.19168764635383,1.97519237459806,13.2381350970221,1.68651773512404e-34,1.94628138391267e-32,67.5688353202677
"SCGB3A1",3.40070649346447,6.84431782835099,13.2332515363646,1.76964738739258e-34,2.03020194095985e-32,67.5212205368468
"CIP2A",-1.03591738988861,2.62566344497316,-13.2269537039392,1.88290591958609e-34,2.13501826451671e-32,67.4598289590696
"CLDN18",2.7001104018481,3.49225212218726,13.2047879484872,2.34209703539704e-34,2.64034210874846e-32,67.2438671659295
"GTSE1",-1.10959222823359,2.88961183737584,-13.1897583477826,2.71534986110396e-34,3.04353266328221e-32,67.0975318470064
"UBE2S",-1.10739756852976,4.18239111178859,-13.1822940891136,2.92218333636498e-34,3.25664809195007e-32,67.0248859851058
"TNXB",1.23030686395154,2.02643674242391,13.1352362539495,4.63987402680232e-34,5.08379006431043e-32,66.5673513769768
"FCER1A",1.82960977518236,3.01631095500043,13.1298124203731,4.89359620264872e-34,5.33183277878536e-32,66.5146671526615
"ITGA9",1.15652051052225,3.55695696998737,13.1264058321453,5.05997279845708e-34,5.48248052712825e-32,66.4815827473583
"ASPM",-1.14518650031306,2.51250531266521,-13.0564706257619,1.00424280057956e-33,1.05868904538936e-31,65.803300074856
"MS4A2",1.06940296726677,1.70566957631242,13.0282367619468,1.32374660379172e-33,1.38058984030749e-31,65.5299674491079
"ORC1",-1.05668136852297,2.74532202345186,-13.0070219306616,1.62878884873312e-33,1.67190889036011e-31,65.3247766684871
"KIF20A",-1.10880608880385,3.73226015605758,-12.9942514906658,1.84519795448014e-33,1.86460599514125e-31,65.2013394617756
"ROS1",1.86212851513998,4.14682257039323,12.9896493973965,1.9300159416558e-33,1.94026293351099e-31,65.1568708926924
"ELN",1.56233771935551,5.06948376232995,12.969755718008,2.34365392418339e-33,2.32021738494156e-31,64.9647336879838
